"Name","season","seasonName","order","Week","Odds"
"Caleb Bankston",27,"Survivor 27: Blood vs Water",9,9,0.120035529777651
"Vytas Baskauskas",27,"Survivor 27: Blood vs Water",10,9,0.088194598804142
"Aras Baskauskas",27,"Survivor 27: Blood vs Water",11,9,0.0215163513306945
"Laura Boneham",27,"Survivor 27: Blood vs Water",12,9,NA
"John Cody",27,"Survivor 27: Blood vs Water",13,9,NA
"Kat Edorsson",27,"Survivor 27: Blood vs Water",14,9,NA
"Brad Culpepper",27,"Survivor 27: Blood vs Water",15,9,NA
"Candice Woodcock",27,"Survivor 27: Blood vs Water",16,9,NA
"Marissa Peterson",27,"Survivor 27: Blood vs Water",17,9,NA
"Rachel Foulger",27,"Survivor 27: Blood vs Water",18,9,NA
"Colton Cumbie",27,"Survivor 27: Blood vs Water",19,9,NA
"Rupert Boneham",27,"Survivor 27: Blood vs Water",20,9,NA
"Tyson Apostol",27,"Survivor 27: Blood vs Water",1,10,0.238863214772813
"Monica Culpepper",27,"Survivor 27: Blood vs Water",2,10,0.0981500321436423
"Gervase Peterson",27,"Survivor 27: Blood vs Water",3,10,0.0354849995393719
"Tina Wesson",27,"Survivor 27: Blood vs Water",4,10,0.0330377581463236
"Ciera Eastin",27,"Survivor 27: Blood vs Water",5,10,0.157682532805132
"Laura Morett",27,"Survivor 27: Blood vs Water",6,10,0.069589831144508
"Hayden Moss",27,"Survivor 27: Blood vs Water",7,10,0.0810496942840768
"Katie Collins",27,"Survivor 27: Blood vs Water",8,10,0.113732826551308
"Caleb Bankston",27,"Survivor 27: Blood vs Water",9,10,0.0361814728701527
"Vytas Baskauskas",27,"Survivor 27: Blood vs Water",10,10,0.0907923339255033
"Aras Baskauskas",27,"Survivor 27: Blood vs Water",11,10,0.0454353038171679
"Laura Boneham",27,"Survivor 27: Blood vs Water",12,10,NA
"John Cody",27,"Survivor 27: Blood vs Water",13,10,NA
"Kat Edorsson",27,"Survivor 27: Blood vs Water",14,10,NA
"Brad Culpepper",27,"Survivor 27: Blood vs Water",15,10,NA
"Candice Woodcock",27,"Survivor 27: Blood vs Water",16,10,NA
"Marissa Peterson",27,"Survivor 27: Blood vs Water",17,10,NA
"Rachel Foulger",27,"Survivor 27: Blood vs Water",18,10,NA
"Colton Cumbie",27,"Survivor 27: Blood vs Water",19,10,NA
"Rupert Boneham",27,"Survivor 27: Blood vs Water",20,10,NA
"Tyson Apostol",27,"Survivor 27: Blood vs Water",1,11,0.272124677990202
"Monica Culpepper",27,"Survivor 27: Blood vs Water",2,11,0.0919058013147954
"Gervase Peterson",27,"Survivor 27: Blood vs Water",3,11,0.0156280659267958
"Tina Wesson",27,"Survivor 27: Blood vs Water",4,11,0.0168169700708564
"Ciera Eastin",27,"Survivor 27: Blood vs Water",5,11,0.228886685636385
"Laura Morett",27,"Survivor 27: Blood vs Water",6,11,0.0405840839849239
"Hayden Moss",27,"Survivor 27: Blood vs Water",7,11,0.0263515154807419
"Katie Collins",27,"Survivor 27: Blood vs Water",8,11,0.148000061581964
"Caleb Bankston",27,"Survivor 27: Blood vs Water",9,11,0.109546483974293
"Vytas Baskauskas",27,"Survivor 27: Blood vs Water",10,11,0.0501556540390424
"Aras Baskauskas",27,"Survivor 27: Blood vs Water",11,11,NA
"Laura Boneham",27,"Survivor 27: Blood vs Water",12,11,NA
"John Cody",27,"Survivor 27: Blood vs Water",13,11,NA
"Kat Edorsson",27,"Survivor 27: Blood vs Water",14,11,NA
"Brad Culpepper",27,"Survivor 27: Blood vs Water",15,11,NA
"Candice Woodcock",27,"Survivor 27: Blood vs Water",16,11,NA
"Marissa Peterson",27,"Survivor 27: Blood vs Water",17,11,NA
"Rachel Foulger",27,"Survivor 27: Blood vs Water",18,11,NA
"Colton Cumbie",27,"Survivor 27: Blood vs Water",19,11,NA
"Rupert Boneham",27,"Survivor 27: Blood vs Water",20,11,NA
"Tyson Apostol",27,"Survivor 27: Blood vs Water",1,12,0.30112800983818
"Monica Culpepper",27,"Survivor 27: Blood vs Water",2,12,0.123005483294096
"Gervase Peterson",27,"Survivor 27: Blood vs Water",3,12,0.0126274758601671
"Tina Wesson",27,"Survivor 27: Blood vs Water",4,12,0.00602653689314277
"Ciera Eastin",27,"Survivor 27: Blood vs Water",5,12,0.243948157875696
"Laura Morett",27,"Survivor 27: Blood vs Water",6,12,0.0285094338704723
"Hayden Moss",27,"Survivor 27: Blood vs Water",7,12,0.0471018916890167
"Katie Collins",27,"Survivor 27: Blood vs Water",8,12,0.133691825882786
"Caleb Bankston",27,"Survivor 27: Blood vs Water",9,12,0.103961184796442
"Vytas Baskauskas",27,"Survivor 27: Blood vs Water",10,12,NA
"Aras Baskauskas",27,"Survivor 27: Blood vs Water",11,12,NA
"Laura Boneham",27,"Survivor 27: Blood vs Water",12,12,NA
"John Cody",27,"Survivor 27: Blood vs Water",13,12,NA
"Kat Edorsson",27,"Survivor 27: Blood vs Water",14,12,NA
"Brad Culpepper",27,"Survivor 27: Blood vs Water",15,12,NA
"Candice Woodcock",27,"Survivor 27: Blood vs Water",16,12,NA
"Marissa Peterson",27,"Survivor 27: Blood vs Water",17,12,NA
"Rachel Foulger",27,"Survivor 27: Blood vs Water",18,12,NA
"Colton Cumbie",27,"Survivor 27: Blood vs Water",19,12,NA
"Rupert Boneham",27,"Survivor 27: Blood vs Water",20,12,NA
"Tyson Apostol",27,"Survivor 27: Blood vs Water",1,13,0.215025441650457
"Monica Culpepper",27,"Survivor 27: Blood vs Water",2,13,0.129277189823563
"Gervase Peterson",27,"Survivor 27: Blood vs Water",3,13,0.0146535626400965
"Tina Wesson",27,"Survivor 27: Blood vs Water",4,13,0.0586948075134293
"Ciera Eastin",27,"Survivor 27: Blood vs Water",5,13,0.318992688900223
"Laura Morett",27,"Survivor 27: Blood vs Water",6,13,0.0554123246098151
"Hayden Moss",27,"Survivor 27: Blood vs Water",7,13,0.130387356566194
"Katie Collins",27,"Survivor 27: Blood vs Water",8,13,0.0775566282962214
"Caleb Bankston",27,"Survivor 27: Blood vs Water",9,13,NA
"Vytas Baskauskas",27,"Survivor 27: Blood vs Water",10,13,NA
"Aras Baskauskas",27,"Survivor 27: Blood vs Water",11,13,NA
"Laura Boneham",27,"Survivor 27: Blood vs Water",12,13,NA
"John Cody",27,"Survivor 27: Blood vs Water",13,13,NA
"Kat Edorsson",27,"Survivor 27: Blood vs Water",14,13,NA
"Brad Culpepper",27,"Survivor 27: Blood vs Water",15,13,NA
"Candice Woodcock",27,"Survivor 27: Blood vs Water",16,13,NA
"Marissa Peterson",27,"Survivor 27: Blood vs Water",17,13,NA
"Rachel Foulger",27,"Survivor 27: Blood vs Water",18,13,NA
"Colton Cumbie",27,"Survivor 27: Blood vs Water",19,13,NA
"Rupert Boneham",27,"Survivor 27: Blood vs Water",20,13,NA
"Tyson Apostol",27,"Survivor 27: Blood vs Water",1,14,0.278925094250101
"Monica Culpepper",27,"Survivor 27: Blood vs Water",2,14,0.140194305405582
"Gervase Peterson",27,"Survivor 27: Blood vs Water",3,14,0.0320931126754568
"Tina Wesson",27,"Survivor 27: Blood vs Water",4,14,0.0681002178230276
"Ciera Eastin",27,"Survivor 27: Blood vs Water",5,14,0.291243812298049
"Laura Morett",27,"Survivor 27: Blood vs Water",6,14,0.0651149695612906
"Hayden Moss",27,"Survivor 27: Blood vs Water",7,14,0.124328487986493
"Katie Collins",27,"Survivor 27: Blood vs Water",8,14,NA
"Caleb Bankston",27,"Survivor 27: Blood vs Water",9,14,NA
"Vytas Baskauskas",27,"Survivor 27: Blood vs Water",10,14,NA
"Aras Baskauskas",27,"Survivor 27: Blood vs Water",11,14,NA
"Laura Boneham",27,"Survivor 27: Blood vs Water",12,14,NA
"John Cody",27,"Survivor 27: Blood vs Water",13,14,NA
"Kat Edorsson",27,"Survivor 27: Blood vs Water",14,14,NA
"Brad Culpepper",27,"Survivor 27: Blood vs Water",15,14,NA
"Candice Woodcock",27,"Survivor 27: Blood vs Water",16,14,NA
"Marissa Peterson",27,"Survivor 27: Blood vs Water",17,14,NA
"Rachel Foulger",27,"Survivor 27: Blood vs Water",18,14,NA
"Colton Cumbie",27,"Survivor 27: Blood vs Water",19,14,NA
"Rupert Boneham",27,"Survivor 27: Blood vs Water",20,14,NA
"Tony Vlachos",28,"Survivor 28: Cagayan - Brain vs Brawn vs Beauty",1,2,0.10886587010606
"Woo Hwang",28,"Survivor 28: Cagayan - Brain vs Brawn vs Beauty",2,2,0.0234704290652681
"Kass 'Chaos Kass' McQuillen",28,"Survivor 28: Cagayan - Brain vs Brawn vs Beauty",3,2,0.0763659655774936
"Spencer Bledsoe",28,"Survivor 28: Cagayan - Brain vs Brawn vs Beauty",4,2,0.116540848994331
"Trish Hegarty",28,"Survivor 28: Cagayan - Brain vs Brawn vs Beauty",5,2,0.0306680408066336
"Tasha Fox",28,"Survivor 28: Cagayan - Brain vs Brawn vs Beauty",6,2,0.0425604498905388
"Jefra Bland",28,"Survivor 28: Cagayan - Brain vs Brawn vs Beauty",7,2,0.0378314793439424
"Jeremiah Wood",28,"Survivor 28: Cagayan - Brain vs Brawn vs Beauty",8,2,0.0234704290652681
"LJ McKanas",28,"Survivor 28: Cagayan - Brain vs Brawn vs Beauty",9,2,0.0262771823337515
"Morgan McLeod",28,"Survivor 28: Cagayan - Brain vs Brawn vs Beauty",10,2,0.0323338737758402
"Sarah Lacina",28,"Survivor 28: Cagayan - Brain vs Brawn vs Beauty",11,2,0.0824880855836727
"Alexis Maxwell",28,"Survivor 28: Cagayan - Brain vs Brawn vs Beauty",12,2,0.0378314793439424
"Lindsey Ogle",28,"Survivor 28: Cagayan - Brain vs Brawn vs Beauty",13,2,0.0378314793439424
"Cliff Robinson",28,"Survivor 28: Cagayan - Brain vs Brawn vs Beauty",14,2,0.0973419051875668
"J'Tia Taylor",28,"Survivor 28: Cagayan - Brain vs Brawn vs Beauty",15,2,0.0183879192349693
"Brice Johnston",28,"Survivor 28: Cagayan - Brain vs Brawn vs Beauty",16,2,0.0973419051875668
"Garrett Adelstein",28,"Survivor 28: Cagayan - Brain vs Brawn vs Beauty",17,2,0.110392657159212
"David Samson",28,"Survivor 28: Cagayan - Brain vs Brawn vs Beauty",18,2,NA
"Tony Vlachos",28,"Survivor 28: Cagayan - Brain vs Brawn vs Beauty",1,3,0.0918273620844935
"Woo Hwang",28,"Survivor 28: Cagayan - Brain vs Brawn vs Beauty",2,3,0.0224305583953383
"Kass 'Chaos Kass' McQuillen",28,"Survivor 28: Cagayan - Brain vs Brawn vs Beauty",3,3,0.0324430508856404
"Spencer Bledsoe",28,"Survivor 28: Cagayan - Brain vs Brawn vs Beauty",4,3,0.0567644594391698
"Trish Hegarty",28,"Survivor 28: Cagayan - Brain vs Brawn vs Beauty",5,3,0.0961966215986592
"Tasha Fox",28,"Survivor 28: Cagayan - Brain vs Brawn vs Beauty",6,3,0.028780084274725
"Jefra Bland",28,"Survivor 28: Cagayan - Brain vs Brawn vs Beauty",7,3,0.0223256430619471
"Jeremiah Wood",28,"Survivor 28: Cagayan - Brain vs Brawn vs Beauty",8,3,0.0224305583953383
"LJ McKanas",28,"Survivor 28: Cagayan - Brain vs Brawn vs Beauty",9,3,0.0322480968943839
"Morgan McLeod",28,"Survivor 28: Cagayan - Brain vs Brawn vs Beauty",10,3,0.125062654566848
"Sarah Lacina",28,"Survivor 28: Cagayan - Brain vs Brawn vs Beauty",11,3,0.155731761697065
"Alexis Maxwell",28,"Survivor 28: Cagayan - Brain vs Brawn vs Beauty",12,3,0.0223256430619471
"Lindsey Ogle",28,"Survivor 28: Cagayan - Brain vs Brawn vs Beauty",13,3,0.0510387814687863
"Cliff Robinson",28,"Survivor 28: Cagayan - Brain vs Brawn vs Beauty",14,3,0.183072457646019
"J'Tia Taylor",28,"Survivor 28: Cagayan - Brain vs Brawn vs Beauty",15,3,0.0194230183133856
"Brice Johnston",28,"Survivor 28: Cagayan - Brain vs Brawn vs Beauty",16,3,0.0378992482162537
"Garrett Adelstein",28,"Survivor 28: Cagayan - Brain vs Brawn vs Beauty",17,3,NA
"David Samson",28,"Survivor 28: Cagayan - Brain vs Brawn vs Beauty",18,3,NA
"Tony Vlachos",28,"Survivor 28: Cagayan - Brain vs Brawn vs Beauty",1,4,0.200243136113665
"Woo Hwang",28,"Survivor 28: Cagayan - Brain vs Brawn vs Beauty",2,4,0.0298602737351578
"Kass 'Chaos Kass' McQuillen",28,"Survivor 28: Cagayan - Brain vs Brawn vs Beauty",3,4,0.0579901887292115
"Spencer Bledsoe",28,"Survivor 28: Cagayan - Brain vs Brawn vs Beauty",4,4,0.0428660876924314
"Trish Hegarty",28,"Survivor 28: Cagayan - Brain vs Brawn vs Beauty",5,4,0.145984448719602
"Tasha Fox",28,"Survivor 28: Cagayan - Brain vs Brawn vs Beauty",6,4,0.0312101188175115
"Jefra Bland",28,"Survivor 28: Cagayan - Brain vs Brawn vs Beauty",7,4,0.0329312991115167
"Jeremiah Wood",28,"Survivor 28: Cagayan - Brain vs Brawn vs Beauty",8,4,0.0331924450536982
"LJ McKanas",28,"Survivor 28: Cagayan - Brain vs Brawn vs Beauty",9,4,0.0374654598129487
"Morgan McLeod",28,"Survivor 28: Cagayan - Brain vs Brawn vs Beauty",10,4,0.137259177881688
"Sarah Lacina",28,"Survivor 28: Cagayan - Brain vs Brawn vs Beauty",11,4,0.094830575930315
"Alexis Maxwell",28,"Survivor 28: Cagayan - Brain vs Brawn vs Beauty",12,4,0.031941998566011
"Lindsey Ogle",28,"Survivor 28: Cagayan - Brain vs Brawn vs Beauty",13,4,0.0372659172291993
"Cliff Robinson",28,"Survivor 28: Cagayan - Brain vs Brawn vs Beauty",14,4,0.0567249186759745
"J'Tia Taylor",28,"Survivor 28: Cagayan - Brain vs Brawn vs Beauty",15,4,0.0302339539310697
"Brice Johnston",28,"Survivor 28: Cagayan - Brain vs Brawn vs Beauty",16,4,NA
"Garrett Adelstein",28,"Survivor 28: Cagayan - Brain vs Brawn vs Beauty",17,4,NA
"David Samson",28,"Survivor 28: Cagayan - Brain vs Brawn vs Beauty",18,4,NA
"Tony Vlachos",28,"Survivor 28: Cagayan - Brain vs Brawn vs Beauty",1,5,0.175866890036124
"Woo Hwang",28,"Survivor 28: Cagayan - Brain vs Brawn vs Beauty",2,5,0.051738289345005
"Kass 'Chaos Kass' McQuillen",28,"Survivor 28: Cagayan - Brain vs Brawn vs Beauty",3,5,0.0431745890117532
"Spencer Bledsoe",28,"Survivor 28: Cagayan - Brain vs Brawn vs Beauty",4,5,0.084793997254156
"Trish Hegarty",28,"Survivor 28: Cagayan - Brain vs Brawn vs Beauty",5,5,0.125548964160231
"Tasha Fox",28,"Survivor 28: Cagayan - Brain vs Brawn vs Beauty",6,5,0.0194151729236255
"Jefra Bland",28,"Survivor 28: Cagayan - Brain vs Brawn vs Beauty",7,5,0.0462826472743909
"Jeremiah Wood",28,"Survivor 28: Cagayan - Brain vs Brawn vs Beauty",8,5,0.0258508979648272
"LJ McKanas",28,"Survivor 28: Cagayan - Brain vs Brawn vs Beauty",9,5,0.0481358908514524
"Morgan McLeod",28,"Survivor 28: Cagayan - Brain vs Brawn vs Beauty",10,5,0.14553965689857
"Sarah Lacina",28,"Survivor 28: Cagayan - Brain vs Brawn vs Beauty",11,5,0.0917686733609797
"Alexis Maxwell",28,"Survivor 28: Cagayan - Brain vs Brawn vs Beauty",12,5,0.0357994335891044
"Lindsey Ogle",28,"Survivor 28: Cagayan - Brain vs Brawn vs Beauty",13,5,0.0531073559516153
"Cliff Robinson",28,"Survivor 28: Cagayan - Brain vs Brawn vs Beauty",14,5,0.0529775413781654
"J'Tia Taylor",28,"Survivor 28: Cagayan - Brain vs Brawn vs Beauty",15,5,NA
"Brice Johnston",28,"Survivor 28: Cagayan - Brain vs Brawn vs Beauty",16,5,NA
"Garrett Adelstein",28,"Survivor 28: Cagayan - Brain vs Brawn vs Beauty",17,5,NA
"David Samson",28,"Survivor 28: Cagayan - Brain vs Brawn vs Beauty",18,5,NA
"Tony Vlachos",28,"Survivor 28: Cagayan - Brain vs Brawn vs Beauty",1,6,0.263213463784537
